month,nodes,edges,avg_degree,density,gcc_fraction,avg_clustering,avg_shortest_path,degree_assortativity,month_dt
2017-01,319,1905,11.943573667711599,0.03755840776009937,1.0,0.7313710138537179,2.016304883578794,-0.36245652853049753,2017-01-01
2017-02,380,3092,16.273684210526316,0.0429384807665602,1.0,0.7526063333910684,2.004999305651993,-0.3527149314345506,2017-02-01
2017-03,408,4094,20.068627450980394,0.04930866695572578,1.0,0.7547613718210039,1.9758635640988582,-0.35285775472501,2017-03-01
2017-04,424,4957,23.382075471698112,0.055276774164770955,0.9952830188679245,0.7401551023983368,1.9700667559748286,-0.34777839076536154,2017-04-01
2017-05,431,5893,27.34570765661253,0.06359466896886634,1.0,0.7381546935989766,1.9526574218960773,-0.34774106423040296,2017-05-01
2017-06,439,6593,30.036446469248293,0.06857636180193674,1.0,0.7217847946927718,1.9483466991190024,-0.3529384371772459,2017-06-01
2017-07,446,7814,35.04035874439462,0.07874237920088678,1.0,0.7337605678541586,1.93559731949413,-0.3633545739481016,2017-07-01
2017-08,451,9107,40.38580931263858,0.08974624291697463,1.0,0.7286852677363425,1.9236363636363636,-0.36965547752297073,2017-08-01
2017-09,453,9708,42.86092715231788,0.09482506007149974,1.0,0.7290057314193115,1.9165738732930904,-0.3697121880435473,2017-09-01
2017-10,455,10347,45.48131868131868,0.10017911603814687,1.0,0.7326779292985078,1.9149247228542383,-0.37216750816588584,2017-10-01
2017-11,460,13055,56.76086956521739,0.12366202519655205,1.0,0.72340670046881,1.8903665814151747,-0.36791192753129287,2017-11-01
2017-12,466,16970,72.83261802575107,0.15662928607688403,1.0,0.7160298484824629,1.8520743919885552,-0.35787596147865114,2017-12-01
2018-01,468,18569,79.35470085470085,0.1699244129650982,1.0,0.7155624325348608,1.8385859916909169,-0.35567589750571826,2018-01-01
2018-02,469,19960,85.11727078891258,0.1818745102327192,1.0,0.7141766703606968,1.8264629234778489,-0.3537416976169368,2018-02-01
