month,hub_frac,inequality,month_dt
2017-01,0.20866141732283464,16.640748031496063,2017-01-01
2017-02,0.16785252263906855,15.945989650711512,2017-02-01
2017-03,0.168295065950171,13.732877381533953,2017-03-01
2017-04,0.15039338309461367,12.753358886423237,2017-04-01
2017-05,0.13516035974885457,11.650823010351264,2017-05-01
2017-06,0.1255877445775823,11.026603973911724,2017-06-01
2017-07,0.11351420527258767,10.12546711031482,2017-07-01
2017-08,0.10206434610738992,9.20620401888657,2017-08-01
2017-09,0.09790894107952204,8.870550061804696,2017-09-01
2017-10,0.0936503334299797,8.522180342128152,2017-10-01
2017-11,0.07820758330141708,7.195097663730372,2017-11-01
2017-12,0.06352386564525633,5.92042427813789,2017-12-01
2018-01,0.05880769023641553,5.504399806128493,2018-01-01
2018-02,0.055210420841683365,5.1787374749499,2018-02-01
2018-03,0.051912313432835824,4.890139925373135,2018-03-01
2018-04,0.0467122260188349,4.409634136178015,2018-04-01
2018-05,0.044724497097877076,4.221992526039596,2018-05-01
2018-06,0.04308899725693386,4.076219140505943,2018-06-01
2018-07,0.04140914709517923,3.9338689740420274,2018-07-01
2018-08,0.03984432266396733,3.793179517609689,2018-08-01
2018-09,0.038593887052155725,3.6895756021860873,2018-09-01
2018-10,0.03755585271191416,3.6053618603437596,2018-10-01
2018-11,0.036505825734549135,3.504559270516717,2018-11-01
2018-12,0.03544102344371672,3.409426455285548,2018-12-01
2019-01,0.03450938465193633,3.326704680446662,2019-01-01
2019-02,0.0339096130417126,3.2824505424377795,2019-02-01
2019-03,0.03323502722323049,3.2304446460980034,2019-03-01
2019-04,0.032618322723498475,3.1835482978134513,2019-04-01
2019-05,0.032192172563117905,3.154832911185555,2019-05-01
2019-06,0.03179120908627125,3.1155384904545826,2019-06-01
2019-07,0.03131515743355592,3.075148459975191,2019-07-01
2019-08,0.03094691834393576,3.038987381374491,2019-08-01
2019-09,0.030548276039258002,2.9998407070551356,2019-09-01
2019-10,0.030199979697492642,2.983757994112273,2019-10-01
2019-11,0.030004511956685215,2.970446683711836,2019-11-01
2019-12,0.029226870690285324,2.893460198338247,2019-12-01
2020-01,0.02898062342038753,2.8806739679865205,2020-01-01
2020-02,0.028663629460895977,2.854897494305239,2020-02-01
2020-03,0.028276491655157884,2.816338568853725,2020-03-01
2020-06,0.02791379867880076,2.7802143484085557,2020-06-01
2020-12,0.027487356269702674,2.7432381557163272,2020-12-01
2021-01,0.027147143113021674,2.709284882679563,2021-01-01
2021-07,0.026855663258531403,2.68556632585314,2021-07-01
